,AAPL_close,AAPL_volume
2016-08-02 00:00:00+00:00,26.12,135266224
2016-08-03 00:00:00+00:00,26.4475,120810564
2016-08-04 00:00:00+00:00,26.4675,109634600
2016-08-05 00:00:00+00:00,26.87,162213608
2016-08-08 00:00:00+00:00,27.0925,112148880
2016-08-09 00:00:00+00:00,27.2025,105260816
2016-08-10 00:00:00+00:00,27.0,96034020
2016-08-11 00:00:00+00:00,26.9825,109938024
2016-08-12 00:00:00+00:00,27.045,74641736
2016-08-15 00:00:00+00:00,27.37,103472836
2016-08-16 00:00:00+00:00,27.345,135177792
2016-08-17 00:00:00+00:00,27.305,101423904
2016-08-18 00:00:00+00:00,27.27,87938812
2016-08-19 00:00:00+00:00,27.34,101472288
2016-08-22 00:00:00+00:00,27.1275,103280920
2016-08-23 00:00:00+00:00,27.2125,85030676
2016-08-24 00:00:00+00:00,27.0075,94700324
2016-08-25 00:00:00+00:00,26.8925,100344992
2016-08-26 00:00:00+00:00,26.735,111065164
2016-08-29 00:00:00+00:00,26.705,99881200
2016-08-30 00:00:00+00:00,26.5,99455780
2016-08-31 00:00:00+00:00,26.525,118649624
2016-09-01 00:00:00+00:00,26.6825,106806092
2016-09-02 00:00:00+00:00,26.9325,107209800
2016-09-06 00:00:00+00:00,26.925,107521564
2016-09-07 00:00:00+00:00,27.09,169457312
2016-09-08 00:00:00+00:00,26.38,212008104
2016-09-09 00:00:00+00:00,25.7825,186227936
2016-09-12 00:00:00+00:00,26.36,181171080
2016-09-13 00:00:00+00:00,26.9875,248704760
2016-09-14 00:00:00+00:00,27.9425,449361272
2016-09-15 00:00:00+00:00,28.8925,362452708
2016-09-16 00:00:00+00:00,28.73,319547644
2016-09-19 00:00:00+00:00,28.395,188092184
2016-09-20 00:00:00+00:00,28.3925,138057076
2016-09-21 00:00:00+00:00,28.3875,144012740
2016-09-22 00:00:00+00:00,28.655,124295936
2016-09-23 00:00:00+00:00,28.1775,209924604
2016-09-26 00:00:00+00:00,28.22,119477768
2016-09-27 00:00:00+00:00,28.2725,98429648
2016-09-28 00:00:00+00:00,28.4875,118564340
2016-09-29 00:00:00+00:00,28.045,143547960
2016-09-30 00:00:00+00:00,28.2625,145516424
2016-10-03 00:00:00+00:00,28.13,86807040
2016-10-04 00:00:00+00:00,28.25,118947340
2016-10-05 00:00:00+00:00,28.2625,85812356
2016-10-06 00:00:00+00:00,28.4725,115117252
2016-10-07 00:00:00+00:00,28.515,97433772
2016-10-10 00:00:00+00:00,29.0125,144943824
2016-10-11 00:00:00+00:00,29.075,256164172
2016-10-12 00:00:00+00:00,29.335,150347148
