assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.85,100,P,196.95,300,P,196.92,0,N,0.0,0.0,0.0, ,196.37,0.55,57679,1586783676899,1586783693932,196.85,n,NYSE,True,True,0.088,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.37,5573,0.0,1586471400001,0.2801,0.48,0.2444,0.0,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.88,100,Z,196.95,100,Z,196.95,0,N,0.0,0.0,0.0, ,196.37,0.58,58753,1586783955475,1586783999641,196.88,n,NYSE,True,True,0.0856,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.37,5573,0.0,1586471400001,0.2954,0.51,0.2597,0.0,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.0,500,P,197.1,100,T,197.02,0,N,0.0,0.0,0.0, ,196.37,0.65,60524,1586784296953,1586784300383,197.0,n,NYSE,True,True,0.0817,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.37,5573,0.0,1586471400001,0.331,0.63,0.3208,0.0,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.09,100,Z,197.19,200,Z,197.2,100,Z,197.4,197.4,197.2, ,196.37,0.83,189022,1586784601706,1586784601533,197.19,n,NYSE,True,True,0.0789,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.2,1,0.83,1586784601533,0.4227,0.82,0.4176,0.4227,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.61,200,Z,197.68,400,T,197.649,300,D,197.4,197.72,196.435, ,196.37,1.279,550184,1586784901528,1586784901212,197.649,n,NYSE,True,True,0.0483,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.649,3,1.279,1586784901212,0.6513,1.279,0.6513,0.6513,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.61,100,N,197.69,300,T,197.65,100,D,197.4,197.99,196.435, ,196.37,1.28,902764,1586785201429,1586785201958,197.65,n,NYSE,True,True,0.0379,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.65,1,1.28,1586785201958,0.6518,1.28,0.6518,0.6518,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,195.9,200,Z,196.02,300,T,196.0,400,D,197.4,197.99,195.82, ,196.37,-0.37,1134921,1586785502903,1586785502469,196.0,n,NYSE,True,True,0.0342,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.0,4,-0.37,1586785502469,-0.1884,-0.37,-0.1884,-0.1884,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.12,100,P,196.18,100,N,196.14,100,N,197.4,197.99,195.82, ,196.37,-0.23,1290725,1586785801739,1586785801045,196.14,n,NYSE,True,True,0.0324,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.14,1,-0.23,1586785801045,-0.1171,-0.23,-0.1171,-0.1171,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.56,100,Z,196.62,200,N,196.59,200,D,197.4,197.99,195.82, ,196.37,0.22,1397345,1586786101501,1586786101500,196.59,n,NYSE,True,True,0.0314,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.59,2,0.22,1586786101500,0.112,0.22,0.112,0.112,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.36,300,Z,196.41,100,N,196.385,100,V,197.4,197.99,195.82, ,196.37,0.015,1520310,1586786402039,1586786401673,196.385,n,NYSE,True,True,0.0305,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.385,1,0.015,1586786401673,0.0076,0.015,0.0076,0.0076,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.65,100,P,196.7,200,Z,196.675,100,D,197.4,197.99,195.82, ,196.37,0.305,1662412,1586786700275,1586786700367,196.675,n,NYSE,True,True,0.0292,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.675,1,0.305,1586786700367,0.1553,0.305,0.1553,0.1553,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.73,100,Z,196.76,100,T,196.74,100,T,197.4,197.99,195.82, ,196.37,0.37,1790793,1586787001713,1586787000861,196.74,n,NYSE,True,True,0.0282,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.74,1,0.37,1586787000861,0.1884,0.37,0.1884,0.1884,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.02,100,Z,197.11,500,Z,197.065,100,J,197.4,197.99,195.82, ,196.37,0.695,1943219,1586787302009,1586787302003,197.065,n,NYSE,True,True,0.0273,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.065,1,0.695,1586787302003,0.3539,0.695,0.3539,0.3539,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.32,100,Z,196.4,100,B,196.34,100,N,197.4,197.99,195.82, ,196.37,-0.03,2056761,1586787601810,1586787600576,196.34,n,NYSE,True,True,0.0268,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.34,1,-0.03,1586787600576,-0.0153,-0.03,-0.0153,-0.0153,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,195.94,300,T,196.01,200,Z,196.0,100,Z,197.4,197.99,195.82, ,196.37,-0.37,2187842,1586787899068,1586787899169,196.0,n,NYSE,True,True,0.0261,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.0,1,-0.37,1586787899169,-0.1884,-0.37,-0.1884,-0.1884,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.01,100,Z,196.06,200,Z,196.04,100,D,197.4,197.99,195.53, ,196.37,-0.33,2340377,1586788202469,1586788202471,196.04,n,NYSE,True,True,0.0256,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.04,1,-0.33,1586788202471,-0.1681,-0.33,-0.168,-0.1681,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.22,100,N,196.25,100,N,196.23,100,Z,197.4,197.99,195.53, ,196.37,-0.14,2430362,1586788502529,1586788502523,196.23,n,NYSE,True,True,0.0251,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.23,1,-0.14,1586788502523,-0.0713,-0.14,-0.0713,-0.0713,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.2,200,N,196.21,100,T,196.2,200,N,197.4,197.99,195.53, ,196.37,-0.17,2498534,1586788801652,1586788800206,196.2,n,NYSE,True,True,0.0248,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.2,2,-0.17,1586788800206,-0.0866,-0.17,-0.0866,-0.0866,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.71,200,N,196.73,200,N,196.73,500,D,197.4,197.99,195.53, ,196.37,0.36,2629902,1586789101413,1586789101006,196.73,n,NYSE,True,True,0.0244,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.73,5,0.36,1586789101006,0.1833,0.36,0.1833,0.1833,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.86,300,Z,196.9,100,T,196.88,200,Z,197.4,197.99,195.53, ,196.37,0.51,2735550,1586789401443,1586789401435,196.88,n,NYSE,True,True,0.0239,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.88,2,0.51,1586789401435,0.2597,0.51,0.2597,0.2597,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.57,100,T,196.6,200,Z,196.585,100,D,197.4,197.99,195.53, ,196.37,0.215,2844721,1586789701628,1586789701632,196.585,n,NYSE,True,True,0.0235,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.585,1,0.215,1586789701632,0.1095,0.215,0.1095,0.1095,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.65,100,N,196.71,200,Z,196.68,100,D,197.4,197.99,195.53, ,196.37,0.31,2920714,1586790001802,1586790001499,196.68,n,NYSE,True,True,0.0232,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.68,1,0.31,1586790001499,0.1579,0.31,0.1579,0.1579,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.59,200,Z,196.63,100,K,196.63,100,D,197.4,197.99,195.53, ,196.37,0.26,3019735,1586790300861,1586790301498,196.63,n,NYSE,True,True,0.0228,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.63,1,0.26,1586790301498,0.1324,0.26,0.1324,0.1324,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.38,300,P,196.41,100,B,196.4045,200,D,197.4,197.99,195.53, ,196.37,0.0345,3096923,1586790601189,1586790598561,196.4045,n,NYSE,True,True,0.0225,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.4045,2,0.0345,1586790598561,0.0176,0.0345,0.0176,0.0176,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,196.81,100,K,196.85,200,Z,196.83,100,T,197.4,197.99,195.53, ,196.37,0.46,3187354,1586790901381,1586790901350,196.83,n,NYSE,True,True,0.0222,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,196.83,1,0.46,1586790901350,0.2343,0.46,0.2343,0.2343,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.22,200,Z,197.27,200,T,197.23,100,N,197.4,197.99,195.53, ,196.37,0.86,3405058,1586791201357,1586791201338,197.23,n,NYSE,True,True,0.0216,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.23,1,0.86,1586791201338,0.4379,0.86,0.438,0.4379,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.56,800,N,197.57,200,Z,197.56,100,T,197.4,197.99,195.53, ,196.37,1.19,3514675,1586791502557,1586791500897,197.56,n,NYSE,True,True,0.0213,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.56,1,1.19,1586791500897,0.606,1.19,0.606,0.606,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.57,200,T,197.59,200,T,197.59,100,N,197.4,197.99,195.53, ,196.37,1.22,3623995,1586791802488,1586791798230,197.59,n,NYSE,True,True,0.021,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.59,1,1.22,1586791798230,0.6213,1.22,0.6213,0.6213,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.65,200,Z,197.69,100,N,197.69,100,N,197.4,197.99,195.53, ,196.37,1.32,3749291,1586792102196,1586792102196,197.69,n,NYSE,True,True,0.0208,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.69,1,1.32,1586792102196,0.6722,1.32,0.6722,0.6722,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.86,100,T,197.93,200,Z,197.9,100,N,197.4,198.35,195.53, ,196.37,1.53,3980855,1586792402071,1586792401342,197.9,n,NYSE,True,True,0.0203,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.9,1,1.53,1586792401342,0.7791,1.53,0.7791,0.7791,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.19,100,T,198.21,200,Z,198.2,100,N,197.4,198.35,195.53, ,196.37,1.83,4116164,1586792702621,1586792702236,198.2,n,NYSE,True,True,0.0199,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.2,1,1.83,1586792702236,0.9319,1.83,0.9319,0.9319,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.98,100,P,198.0,200,Z,197.98,100,Z,197.4,198.35,195.53, ,196.37,1.61,4355832,1586793002295,1586793001186,197.98,n,NYSE,True,True,0.0196,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.98,1,1.61,1586793001186,0.8199,1.61,0.8199,0.8199,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.93,200,J,197.97,200,N,197.95,100,D,197.4,198.35,195.53, ,196.37,1.58,4440889,1586793302410,1586793301936,197.95,n,NYSE,True,True,0.0194,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.95,1,1.58,1586793301936,0.8046,1.58,0.8046,0.8046,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.88,300,T,197.9,200,Z,197.92,100,T,197.4,198.35,195.53, ,196.37,1.55,4521839,1586793602391,1586793600158,197.9,n,NYSE,True,True,0.0193,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.92,1,1.55,1586793600158,0.7893,1.53,0.7791,0.7893,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.24,200,Z,198.28,2000,N,198.25,100,D,197.4,198.35,195.53, ,196.37,1.88,4581507,1586793901561,1586793900157,198.25,n,NYSE,True,True,0.0192,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.25,1,1.88,1586793900157,0.9574,1.88,0.9574,0.9574,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.3,2100,P,198.31,400,T,198.305,100,D,197.4,198.5,195.53, ,196.37,1.935,4725062,1586794200663,1586794201970,198.305,n,NYSE,True,True,0.0189,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.305,1,1.935,1586794201970,0.9854,1.935,0.9854,0.9854,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.56,100,N,198.58,100,T,198.57,100,N,197.4,198.69,195.53, ,196.37,2.2,4836805,1586794502311,1586794501528,198.57,n,NYSE,True,True,0.0187,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.57,1,2.2,1586794501528,1.1203,2.2,1.1203,1.1203,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.48,200,T,198.53,200,Z,198.52,100,T,197.4,198.69,195.53, ,196.37,2.15,4959195,1586794802080,1586794800443,198.52,n,NYSE,True,True,0.0185,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.52,1,2.15,1586794800443,1.0949,2.15,1.0949,1.0949,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.16,200,T,198.19,300,N,198.19,100,N,197.4,198.69,195.53, ,196.37,1.82,5112852,1586795102356,1586795102354,198.19,n,NYSE,True,True,0.0184,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.19,1,1.82,1586795102354,0.9268,1.82,0.9268,0.9268,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.88,200,Z,197.89,100,Z,197.87,100,T,197.4,198.69,195.53, ,196.37,1.5,5182069,1586795402831,1586795402048,197.88,n,NYSE,True,True,0.0183,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.87,1,1.5,1586795402048,0.7639,1.51,0.769,0.7639,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.45,200,Z,197.52,300,N,197.52,100,J,197.4,198.69,195.53, ,196.37,1.15,5285420,1586795701453,1586795699930,197.52,n,NYSE,True,True,0.0181,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.52,1,1.15,1586795699930,0.5856,1.15,0.5856,0.5856,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.61,100,N,197.64,200,Z,197.64,100,T,197.4,198.69,195.53, ,196.37,1.27,5344735,1586796001671,1586796001671,197.64,n,NYSE,True,True,0.018,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.64,1,1.27,1586796001671,0.6467,1.27,0.6467,0.6467,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.76,100,T,197.8,200,Z,197.785,100,D,197.4,198.69,195.53, ,196.37,1.415,5427609,1586796301131,1586796297646,197.785,n,NYSE,True,True,0.0179,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.785,1,1.415,1586796297646,0.7206,1.415,0.7206,0.7206,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.94,100,Z,197.97,200,Z,197.9552,1500,D,197.4,198.69,195.53, ,196.37,1.5852,5521145,1586796600441,1586796601793,197.9552,n,NYSE,True,True,0.0178,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.9552,15,1.5852,1586796601793,0.8073,1.5852,0.8073,0.8073,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.61,200,Z,197.66,100,N,197.64,100,Y,197.4,198.69,195.53, ,196.37,1.27,5579043,1586796901470,1586796901284,197.64,n,NYSE,True,True,0.0177,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.64,1,1.27,1586796901284,0.6467,1.27,0.6467,0.6467,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.96,100,T,198.0,200,Z,197.98,100,N,197.4,198.69,195.53, ,196.37,1.61,5684342,1586797201849,1586797201380,197.98,n,NYSE,True,True,0.0176,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.98,1,1.61,1586797201380,0.8199,1.61,0.8199,0.8199,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,197.91,100,N,197.93,100,J,197.92,100,D,197.4,198.69,195.53, ,196.37,1.55,6007475,1586797501309,1586797501672,197.92,n,NYSE,True,True,0.0175,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,197.92,1,1.55,1586797501672,0.7893,1.55,0.7893,0.7893,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.21,200,Z,198.24,300,N,198.22,100,K,197.4,198.69,195.53, ,196.37,1.85,6072692,1586797801017,1586797800742,198.22,n,NYSE,True,True,0.0174,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.22,1,1.85,1586797800742,0.9421,1.85,0.9421,0.9421,True
EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,198.24,200,Z,198.26,100,P,198.25,100,Z,197.4,198.69,195.53, ,196.37,1.88,6168184,1586798100311,1586798100076,198.25,n,NYSE,True,True,0.0172,2,231.14,147.95,0.0,21.2806,0.0,0.0,,Normal,198.25,1,1.88,1586798100076,0.9574,1.88,0.9574,0.9574,True
