,beta,bookValuePerShare,currentRatio,dividendYield,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,interestCoverage,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities
NEM,0.40199,5.17109,2.81077,1.46,4990.2390000000005,39066.41,4.9098,55.264269999999996,50.67758,0.0,27.395020000000002,54889.91,800.7889,16.32135,36.693020000000004,18.09725,38.62225,2.49432,8.92084,13.92114,0.00279,5.16562,2.4066400000000003,10.14414,19.401329999999998,11.14478,0.0,35.639520000000005,0.0,803071105.0,0.0,0.0,22.523529999999997,30.34903,7139215.0,7139220.0,195959900.0,0,0,0,0,0,0,0,0,1,0,0
NWSA,1.53678,0.0,1.29045,1.32,0.0,0.0,0.0,48.93396,45.20426,0.5111100000000001,15.602739999999999,8913.968,586.3845,0.0,0.0,0.0,0.0,1.17369,0.0,0.0,0.0,0.98956,1.1607,0.0,0.0,0.0,0.0,0.0,0.0,388993708.0,0.0,0.0,13.049339999999999,16.60512,2599506.0,2599510.0,47323320.0,1,0,0,0,0,0,0,0,0,0,0
NWS,1.53678,0.0,1.29045,1.32,0.0,0.0,0.0,48.93396,45.20426,0.5111100000000001,15.602739999999999,8913.968,586.3845,0.0,0.0,0.0,0.0,1.17369,0.0,0.0,0.0,0.98956,1.1607,0.0,0.0,0.0,0.0,0.0,0.0,199630240.0,0.0,0.0,13.049339999999999,16.60512,382275.0,2599510.0,47323320.0,1,0,0,0,0,0,0,0,0,0,0
NEE,0.22628,10.9764,0.6131,1.98,4.15165,0.0,7.331119999999999,0.0,0.0,0.0,115.0891,138565.4,488.4925,26.85538,16.45676,28.21123,29.70438,3.74033,18.64694,38.6012,9.297797000000001,7.301760000000001,0.50255,2.6863,9.98569,3.16478,0.0,6.39121,0.0,489647761.0,0.0,0.0,52.64621999999999,125.5469,1458900.0,1458900.0,41938550.0,0,0,0,0,0,0,0,0,0,0,1
NLSN,1.22579,0.0,1.1832200000000002,1.55,31.669209999999996,0.0,0.0,55.61496999999999,55.78434,2.17045,402.2761,5511.849,352.2966,0.0,0.0,1.8716599999999999,0.0,2.72729,25.63651,0.0,0.0,0.8663700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356753964.0,0.0,0.0,79.2341,416.6749,3842651.0,3842650.0,73158070.0,0,0,0,0,0,0,1,0,0,0,0
NKE,0.79919,0.0,2.48141,0.93,0.0,0.0,1.57942,37.2723,43.42165,0.0,116.7722,164817.8,1240.95,0.0,6.78823,0.0,7.245410000000001,20.43678,50.26466,66.89798,0.0,4.406540000000001,1.5921100000000001,9.22283,29.704590000000003,13.05097,0.0,0.0,0.0,1244871297.0,0.0,0.0,54.52236,119.8883,5745162.0,5745160.0,139353360.0,0,1,0,0,0,0,0,0,0,0,0
NI,0.27638,0.0,0.8859600000000001,3.51,0.0,0.0,0.0,41.94275,40.711079999999995,1.8357700000000001,155.6078,9177.232,381.6157,0.0,0.0,9.52529,5.98134,1.91867,15.061929999999998,0.0,0.0,1.8740900000000003,0.78935,0.0,0.0,0.0,0.0,0.0,0.0,383023038.0,0.0,0.0,63.824909999999996,176.4333,2795746.0,2795750.0,61665170.0,0,0,0,0,0,0,0,0,0,0,1
NBL,2.71812,0.0,0.7257600000000001,0.76,0.0,0.0,0.0,72.85464,78.06385,0.0,198.2513,5077.748,474.5551,0.0,0.0,0.0,0.0,1.26804,0.0,0.0,0.0,1.30735,0.67656,0.0,0.0,0.0,0.0,0.0,0.0,479938370.0,0.0,0.0,62.54608,199.2006,10350465.0,10350470.0,288256180.0,0,0,0,1,0,0,0,0,0,0,0
NSC,1.39303,7.90033,1.2144700000000002,1.8,0.0,0.0,8.026660000000001,46.13909,48.43277,3.91026,84.86643000000001,53152.01,254.78400000000002,18.80096,20.46675,29.256590000000003,30.622009999999996,3.57661,16.394820000000003,25.95725,0.0,5.190119999999999,1.08165,5.579359999999999,13.87379,5.92526,0.0,0.0,0.0,255109247.0,0.0,0.0,46.07374,85.4384,1323540.0,1323540.0,30807110.0,0,0,0,0,0,0,1,0,0,0,0
NTRS,1.0623200000000002,7.8766300000000005,0.0,3.39,0.0,0.0,6.415080000000001,99.94691,95.57941,0.0,45.20567,17184.29,206.7702,20.79103,22.11223,26.75692,28.60391,1.6370200000000001,9.27727,12.87279,0.0,2.65797,0.0,1.02855,13.270779999999998,7.3845600000000005,0.0,0.0,0.0,208092630.0,0.0,0.0,92.24703000000001,1189.828,718285.0,718290.0,27439840.0,0,0,0,0,1,0,0,0,0,0,0
