Sector,index,pegRatio,pbRatio,pcfRatio,peRatio,prRatio,quickRatio,ltDebtToEquity,totalDebtToEquity,interestCoverage,grossMarginTTM,grossMarginMRQ,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,returnOnAssets,returnOnEquity,returnOnInvestment,beta,Rating,bookValuePerShare,currentRatio,dividendPayAmount,epsChangePercentTTM,epsChangeYear,epsTTM,revChangeIn,revChangeTTM,high52,low52,marketCap,marketCapFloat,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees
Consumer Non-Durables,PLIN,0,0.9174,0,0,0.23891,0,11.71195,54.34697,0.36674,6.49289,5.20032,0,0,0.90403,0.46656,0,0,0,0,Buy,0,1.53582,0,0,0,0,15.85203,11.57885,4.7399,0.62,26.41175,15.48886,0,29693626,0,0,PLIN,32.53644,2144171,2144170,56390490,0.9102,-0.09878169,-0.0009,2023675,26385697,,,154
Consumer Non-Durables,RIBT,0,1.07442,0,0,0.99511,1.35844,10.20747,22.15737,0,0,0,0,0,0,0,0,0,0,0.41841,Buy,0,1.64276,0,12.23887,32.46198,0,0,12.44205,1.49,0.372,25.09961,39.28227,0,41972594,0,0,RIBT,18.13838,491726,491730,13340350,0.6201,3.69565217,0.0221,354613,26027209,,-0.3526,121
Consumer Non-Durables,TBLT,0,1.26299,0,0,1.02213,2.74371,0,13.38073,1.56205,41.97523,45.30471,0.72518,0,2.01526,0,0,0,0,0,Buy,0,3.44613,0,97.97861,100.1276,0,143.6293,78.19977,4.8,0.621,32.64859,38.15858,0,40283933,0,0,TBLT,11.80159,2198295,2198300,45582960,0.8775,3.24744088,0.0276,8102791,35349122,,-1.3343,24
Consumer Non-Durables,WTER,0,12.4315,0,0,1.56388,1.03908,1.92124,89.83357,0,40.65937,41.17712,0,0,0,0,0,0,0,2.28149,Sell,0,1.39576,0,30.36865,7.7133,0,0,25.47782,2.6,0.4,71.18758,67.93742,0,73563982,0,0,WTER,47.32228,1695877,1695880,36298500,0.9978,3.16377171,0.0306,1135744,73402159,,-0.2702,27
Consumer Non-Durables,REED,0,82.50006,0,0,1.32569,0.40695,53.76344,1822.581,0,25.83686,32.05832,0,0,0,0,0,0,0,1.22834,Neutral,0,0.98727,0,56.09635,69.60632,0,0,4.93416,1.64,0.3612,50.49431,75.50768,0,82162310,0,0,REED,94.79866,941593,941590,15450240,0.6549,7.71381579,0.0469,1684500,41237481,,-0.2125,28
Consumer Services,TRCH,0,4.49286,0,0,221.0533,0,12.55694,112.5499,0,17.07363,61.69799,0,0,0,0,0,0,0,2.48573,Strong Buy,0,0.13715,0,0,46.78086,0,35.708,0,1.0882,0.2111,70.52265,79.92548,0,99327673,0,0,TRCH,52.95222,6644304,6644300,84440680,0.7848,10.53521127,0.0748,9929526,77952379,,-0.1733,2
Consumer Services,RAVE,0,23.89591,0,0,1.76967,0,384.2014,384.2014,5.13043,95.77029,95.90121,3.99369,0,4.09879,0,0,0,0,0.89902,Buy,0,1.9586,0,0,0,0,17.68707,0,2.36,0.38,16.02436,16.0028,0,18004904,0,0,RAVE,79.34744,957905,957910,49981680,0.9186,3.21348315,0.0286,2682680,16539301,,-0.2905,22
Electronic Technology,SENS,0,0,0,0,22.8105,3.11631,0,0,0,0,108.8657,0,0,0,0,0,0,0,0.76368,Buy,0,3.54039,0,0,0,0,193.8697,0,1.78,0.3497,228.47,119.522,0,245666611,0,0,SENS,776.882,25805597,25805600,116662440,0.95,2.15053763,0.02,31283506,233383650,,-0.5172,191
Electronic Technology,SONM,0,1.42447,0,0,0.75047,1.69862,0.64653,1.16201,0,22.27716,30.56347,0,0,0,0,0,0,0,0,Buy,0,2.19812,0,0,70.54564,0,0,0,3.92,0.4201,49.02606,59.07525,0,66162019,0,0,SONM,1.14866,1135520,1135520,21288320,0.7671,3.52226721,0.0261,1275120,50752870,,-1.1373,403
Energy Minerals,SNMP,0,0,0,0,0.1905,0,0,0,0,73.19484,72.35811,0,0,0,0,0,0,0,0,Buy,0,0.08562,0.15,0,0,0,7.10616,0,1.6,0.15,11.70096,5.38765,0,19953880,0,0,SNMP,135.7328,563056,563060,56157860,0.68,15.96180082,0.0936,1082868,13568652,,-7.011,9
