Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
ALV,92.86,1.9095698,1.74,Buy,262424,8110160250,51.81983621,1.7661,59000,Producer Manufacturing
LAMR,82.54,2.81514699,2.26,Buy,547187,8096080000,34.13410434,2.3562,3600,Finance
MBT,9.23,1.20614035,0.11,Strong Buy,2257210,8084120000,10.51418031,0.8681,62885,Communications
CSL,151.35,-1.67608653,-2.58,Neutral,375173,8078896515,25.17252657,6.1779,15000,Producer Manufacturing
AEG,3.96,2.06185567,0.08,Buy,2560609,8072685720,8.73873874,0.444,23757,Finance
ACI,17.05,-0.4088785,-0.07,Buy,1869152,8058733650,9.79236973,1.802,,Retail Trade
RNR,158.34,-2.11424332,-3.42,Strong Sell,273303,8045255400,12.9992446,12.4649,566,Finance
NYT,48.09,-2.25609756,-1.11,Buy,1554406,8042475420,52.17391304,0.9504,4500,Consumer Services
PAAS,38.2,2.33056523,0.87,Strong Buy,3198988,8028646800,130.26005094,0.28717949,12250,Non-Energy Minerals
IVZ,17.46,3.00884956,0.51,Buy,5547559,8019989100,15.82189863,1.0786,8821,Finance
OZON,45.24,4.02391354,1.75,Buy,915555,8009990000,,,13007,Retail Trade
BPY,16.95,-0.35273369,-0.06,Buy,17404706,7994026800,,-0.9978,22000,Finance
STLD,37.95,3.63189514,1.33,Buy,1202016,7983427650,16.15992233,2.2779,8385,Non-Energy Minerals
BBIO,65.05,2.21558768,1.41,Buy,727142,7981830150,,-3.4187,248,Health Technology
WSM,104.16,1.17532783,1.21,Sell,873892,7977374832,15.14616528,6.9387,27000,Retail Trade
OHI,35.84,2.31230374,0.81,Sell,1520151,7951950000,52.54237288,0.7021,49,Finance
PRAH,123.74,0.2511545,0.31,Strong Buy,300808,7937871504,36.10436716,3.4959,17500,Commercial Services
LEVI,19.97,1.62849873,0.32,Buy,911142,7931736642,,-0.2198,15800,Consumer Non-Durables
CIEN,51.21,0.05861665,0.03,Buy,1628482,7915171230,22.0936758,2.3427,7032,Electronic Technology
CMA,56.8,2.34234234,1.3,Buy,1501705,7900198400,15.10697371,3.6842,7948,Finance
BYND,126.07,0.39818428,0.5,Sell,2370758,7899004099,,-0.4509,472,Consumer Non-Durables
AGCO,105.46,2.87776802,2.95,Strong Buy,1277220,7898901270,38.00185357,2.7219,20961,Producer Manufacturing
TTM,13.3,4.23197492,0.54,Strong Buy,1801954,7883050000,,-3.1213,108118,Consumer Durables
EV,68.5,1.13686697,0.77,Buy,1271275,7854327546,55.83216553,1.2712,1983,Finance
RS,123.14,2.86525771,3.43,Strong Buy,351712,7850950782,19.59279203,6.203,15300,Non-Energy Minerals
AIZ,132.15,0.0302778,0.04,Sell,258651,7838886915,20.09155337,6.7788,14200,Finance
OCFT,20.61,2.58835241,0.52,Sell,472754,7834970000,,-0.6445,3631,Finance
IONS,55.93,-1.49700599,-0.85,Buy,727438,7820300390,140.54455446,0.5062,817,Health Technology
LAD,294.78,3.70813397,10.54,Buy,197294,7818833154,18.80852021,15.2562,14320,Retail Trade
CX,5.34,3.48837209,0.18,Buy,9476848,7810950000,,-1.1458,40640,Non-Energy Minerals
CBSH,66.53,0.68099274,0.45,Buy,327656,7792060130,24.64108588,2.6849,4835,Finance
G,41.13,1.60573123,0.65,Buy,1732006,7787883240,25.18666003,1.6556,96500,Commercial Services
VER,36.23,1.74108397,0.62,Sell,2142200,7775120000,29.88669744,1.1937,160,Finance
AAXN,122.3,4.66409927,5.45,Sell,650621,7772152770,,-0.6636,1323,Electronic Technology
CHDN,196.44,4.27305059,8.05,Buy,275886,7750579488,,-2.4048,5500,Consumer Services
BHC,21.82,2.10575573,0.45,Strong Buy,2928726,7749394820,,-5.4479,21700,Health Technology
HLF,52.43,5.09120064,2.54,Buy,2224383,7736361080,19.24917046,2.6468,9500,Distribution Services
JNPR,23.36,3.31711632,0.75,Strong Buy,5935015,7702632960,19.26879155,1.1869,9419,Technology Services
PFPT,133.08,0.27124774,0.36,Buy,407003,7679820564,,-2.7589,3368,Technology Services
RGA,112.8,0.93959732,1.05,Sell,269344,7663293600,14.20472601,7.9734,3188,Finance
LITE,101.38,4.81803143,4.66,Buy,1464056,7654190000,48.69600242,2.0493,5473,Producer Manufacturing
NCLH,24.24,2.14917826,0.51,Sell,16639047,7651016640,,-13.7189,36000,Consumer Services
ADPT,55.75,-0.14329214,-0.08,Buy,719266,7625039000,,-0.9513,453,Commercial Services
WWD,121.15,1.91806175,2.28,Buy,401231,7607275030,31.77917391,3.8607,7100,Producer Manufacturing
RL,104,2.6349551,2.67,Buy,890968,7604750400,,-1.1849,24900,Retail Trade
ARW,100.5,2.95021512,2.88,Buy,460683,7592292600,16.91531944,5.8219,19300,Distribution Services
EEFT,144.85,2.9861358,4.2,Strong Buy,254733,7577813265,291.32145816,0.5485,7700,Technology Services
ACM,50.21,2.6369583,1.29,Buy,940623,7569860440,,-1.1657,54000,Industrial Services
FATE,86.72,-3.30062444,-2.96,Buy,975287,7565799680,,-1.8455,178,Health Technology
FVRR,214.43,7.88930818,15.68,Buy,965815,7530181196,,-0.4417,419,Technology Services
SUZ,11.05,-0.98566308,-0.11,Buy,517881,7528640000,,-4.9222,35000,Process Industries
AYX,112.84,1.51133501,1.68,Strong Sell,1796052,7513253140,,-0.2336,1200,Technology Services
REG,44.3,0.06776598,0.03,Sell,1256421,7511730000,159.87721199,0.2772,450,Finance
RBA,68.41,2.62526253,1.75,Sell,317551,7484054000,42.08587938,1.60239566,2400,Commercial Services
AFG,86.17,1.18600282,1.01,Sell,360279,7483364714,30.44146559,2.8386,6800,Finance
ARWR,72.63,-2.93999733,-2.2,Buy,1268776,7463240910,,-0.8294,232,Health Technology
SBNY,135.43,-0.37516551,-0.51,Buy,439579,7461624194,14.33694024,9.5115,1472,Finance
BL,130.32,2.3241206,2.96,Buy,438687,7461471600,,-0.6938,1055,Technology Services
BERY,55.83,-0.07159477,-0.04,Buy,790946,7453305000,13.4529256,4.2135,47000,Process Industries
NVAX,116.24,2.88546645,3.26,Sell,2524967,7399826776,,-5.2209,165,Health Technology
GPS,19.75,2.75754422,0.53,Sell,7302587,7387072750,,-2.9105,129000,Retail Trade
XLRN,122.53,-1.43190411,-1.78,Sell,229596,7382677560,,-2.3993,237,Health Technology
GRUB,79.48,4.66157493,3.54,Buy,1803333,7372167400,,-1.2599,2714,Retail Trade
JLL,143.32,0.69556664,0.99,Sell,372979,7352731628,17.47795761,8.2555,93400,Finance
NLSN,20.58,1.73010381,0.35,Buy,8098581,7347039420,,-0.4211,46000,Commercial Services
VOYA,58.11,0.06888238,0.04,Buy,833287,7337433480,,-8.5146,6000,Finance
MCFE,17.28,0.58207218,0.1,Strong Buy,678855,7333461395,,-0.1154,,Technology Services
