,index,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
25,EXPR,3.16138,0.0,0.96409,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,4.33024,6.32476,5.2775,0.0,0.57,271.2923,60.69994,62.59643,0.0,0.0,0.0,0.0,0.99737,0.0,0.0,0.0,0.04383,0.41329,0.0,0.0,0.0,31.07736,0.0,0.0,64947502.0,0.0,0.0,EXPR,73.06704,271.2923,3190693.0,3190690.0,116332340.0,0.9629,3.02803338,0.0283,Sell,2300439,62537948.0,,-7.6788,14000.0,Retail Trade
26,GEN,1.41384,0.0,0.94378,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8595,0.0,0.401,0.0,83.48177,63.79843,0.0,0.0,0.0,0.64716,0.0,41.38908,0.0,0.0,0.02025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110642614.0,0.0,0.0,GEN,355.5551,0.0,2309912.0,2309910.0,30197400.0,0.5691,13.70629371,0.0686,Buy,3146758,63390567.0,,-0.6253,55000.0,Health Services
27,GPL,1.79312,0.0,1.25877,0.0,0.0, ,0.0, ,0.0,0.0,0.0,358.1088,0.0,41.40796,20.99536,1.07,8.26517,0.2261,12.89322,334.4648,351.0768,24.19533,0.0,31.48574,0.0,3.60495,0.0,0.0,0.0,1.2975,0.96777,0.0,0.0,0.0,14.90571,75.8111,0.0,354727818.0,0.0,0.0,GPL,38.26765,61.98963,1960378.0,1960380.0,33554910.0,0.9597,2.4226254000000003,0.0227,Buy,2639514,340432462.0,,-0.27332959,821.0,Non-Energy Minerals
28,GSV,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.2713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315163600.0,0.0,0.0,GSV,0.0,0.0,758836.0,0.0,0.0,0.7687,-0.16883117,-0.0013,Buy,426203,242266567.0,,-0.02178551,17.0,Non-Energy Minerals
29,GTE,2.36257,0.0,1.6926,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,58.58831,51.18065,1.38,0.0,0.1775,257.7495,131.5629,359.8974,0.0,0.0,0.0,0.0,0.43236,0.0,0.0,0.0,0.43712,0.0,0.0,0.0,0.0,57.11329,0.0,0.0,366981556.0,0.0,0.0,GTE,72.13196,258.834,4767525.0,4767530.0,106860320.0,0.41700000000000004,16.31799163,0.0585,Buy,18993546,153031494.0,,-1.9159,362.0,Energy Minerals
30,GHSI,0.0,0.0,9.79457,0.0,0.0, ,0.0, ,0.0,0.0,71.19,63.33837,0.0,54.93108,105.4277,0.74,0.0,0.165,0.0,44.92327,84.88968,0.0,0.0,0.0,0.0,4.20314,0.0,0.0,0.0,23.29936,8.68483,0.0,0.0,0.0,0.0,114.523,0.0,88327312.0,0.0,0.0,GHSI,0.0,0.0,50919019.0,50919020.0,244044990.0,0.55,8.13999214,0.0414,Buy,55041704,48580015.0,,-0.1164,22.0,Health Services
31,GSAT,0.38373,28.61107,0.68402,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,61.49831,61.04444,0.6,0.0,0.2302,73.91452,570.2764,607.7507,0.0,0.0,0.0,0.0,1.27702,0.0,0.0,0.0,4.48507,0.54069,0.0,0.0,0.0,7.88104,0.0,0.0,1670405275.0,0.0,0.0,GSAT,45.68449,84.10946,3131526.0,3131530.0,41720880.0,0.39,14.23550088,0.0486,Strong Buy,6421350,651459900.0,,-0.0803,336.0,Communications
32,HSTO,1.17974,0.0,4.3737,0.0,0.0, ,0.0, ,0.0,0.0,24.46749,72.77585,0.0,34.34343,43.14191,7.5,0.0,0.749,6.08462,11.93355,10.20995,0.0,0.0,0.0,0.0,1.3335,0.0,0.0,0.0,5.66376,4.12548,0.0,0.0,0.0,358.3333,0.0,0.0,15030757.0,0.0,0.0,HSTO,7.13063,6.71592,2883957.0,2883960.0,14722530.0,0.851,7.04402516,0.055999999999999994,Sell,3196760,14401303.0,,-3.6543,6.0,Health Technology
33,ISR,1.73227,0.0,3.11827,0.0,0.0, ,0.0, ,0.0,0.0,25.53577,14.4856,0.0,52.2651,52.66181,1.06,0.0,0.352,0.0,46.79679,86.10759,0.0,0.0,0.0,0.0,7.25489,0.0,0.0,0.0,4.80016,2.69711,0.0,0.0,0.0,4.60728,20.85038,0.0,87226074.0,0.0,0.0,ISR,0.0,0.0,2300290.0,2300290.0,28959400.0,0.5305,-1.11835974,-0.006,Buy,39780284,46273446.0,,-0.0493,53.0,Health Technology
34,ITP,0.3796,0.0,1.80371,0.0,0.0, ,0.0, ,0.0,0.0,68.32972,0.0,0.0,7.69708,10.33188,1.39,0.24116,0.391,3.41519,15.73448,23.09765,0.0,0.0,0.71282,0.0,0.09305,1.184,0.0,0.0,0.15415,1.29464,0.0,0.0,0.0,26.53482,0.0,0.0,28535816.0,0.0,0.0,ITP,8.67438,9.4983,713797.0,713800.0,49482130.0,0.6119,10.8916274,0.0601,Sell,992747,17461056.0,,-0.073,428.0,Process Industries
