,index,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
6376,NFEC,0.0,0.0,1.24626,0.0,0.0, ,0.0, ,0.0,0.0,0.0,30.86274,0.0,13.24035,14.29088,25.0,0.0,0.86,0.0,52.40716,0.50138,0.0,0.0,0.0,0.0,2.19859,0.0,0.0,0.0,8.10388,0.89141,0.0,0.0,0.0,95.39462,3.43994,0.0,7573290.0,0.0,0.0,NFEC,19.61072,24.43851,0.0,118500.0,2890470.0,,,,,,,,,,
6377,NFG,0.71988,0.0,0.68367,0.0,1.78,2020-12-30 00:00:00.000,0.445,2021-01-15 00:00:00.000,4.32,0.0,0.0,0.0,0.0,62.74211,56.51294,46.05,2.31259,37.87,133.3466,3752.33,89.6093,0.0,0.0,0.0,1.93101,1.90259,20.57356,0.0,0.0,2.42666,0.49825,0.0,0.0,0.0,0.0,0.0,0.0,91013923.0,0.0,0.0,NFG,57.42287,134.8679,478759.0,478760.0,8995420.0,42.19,2.27878788,0.94,Buy,628458.0,3839876441.0,,-1.3542,2162.0,Energy Minerals
6378,NFH,0.0,0.0,1.24753,0.0,0.0, ,0.0, ,0.0,0.0,0.0,62.98875,0.0,81.81296,32.38856,10.01,0.38447,7.0,26.12463,1269.026,116.164,0.0,0.0,5.74958,0.0,1.03962,4909.004,0.0,0.0,2.02138,1.15321,0.0,0.0,0.0,14.13959,0.0,0.0,131356980.0,0.0,0.0,NFH,20.3213,26.20316,58515.0,58520.0,1725210.0,8.84,-0.33821871,-0.03,Strong Buy,36863.0,1502309380.0,,,6850.0,Finance
6379,NFH+,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFH/WS,0.0,0.0,11050.0,0.0,0.0,,,,,,,,,,
6380,NFJ,1.0865,0.0,0.0,0.0,0.9,2020-12-18 00:00:00.000,0.225,2021-01-04 00:00:00.000,6.8,0.0,0.0,0.0,0.0,0.0,0.0,13.62,0.0,7.53,0.0,1254.225,94.80068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94801581.0,0.0,0.0,NFJ,0.0,0.0,306847.0,306850.0,4932850.0,,,,,,,,,,
6381,NFLX,0.83755,31.50982,1.23762,0.0,0.0, ,0.0, ,0.0,0.0,87.57859,17.82737,5.9073,44.2052,41.72235,575.37,3.51092,290.25,150.461,230996.9,434.9443,12.27502,11.24594,20.43097,17.16928,22.35456,17.53777,88.51083,1.010645,9.69799,0.0,7.7013,31.15675,9.85413,4.67368,26.18792,0.0,441795008.0,0.0,0.0,NFLX,60.82963,155.295,3246956.0,3246960.0,103280180.0,520.8,-0.39398692,-2.06,Buy,3133872.0,230086836000.0,84.46986219,6.3762,8600.0,Consumer Services
6382,NFTY,0.0,0.0,0.0,0.0,0.23,2020-12-24 00:00:00.000,0.1265,2020-12-24 00:00:00.000,0.61,0.0,0.0,0.0,0.0,0.0,0.0,39.2,0.0,20.4416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100002.0,0.0,0.0,NFTY,0.0,0.0,3416.0,0.0,0.0,,,,,,,,,,
6383,NG,0.64631,0.0,63.2481,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.845,0.0,4.65,93.64631,3414.594,241.387,0.0,0.0,0.0,0.0,29.47722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329912479.0,0.0,0.0,NG,48.35946,93.64631,1274302.0,1274300.0,26695410.0,10.17,-1.73913043,-0.18,Buy,1087425.0,3355205040.0,,-0.10813922,12.0,Non-Energy Minerals
6384,NGA,0.0,0.0,3.14999,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,0.0,9.6,0.0,845.753,31.62589,0.0,0.0,0.0,0.0,2.73295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31133273.0,0.0,0.0,NGA,0.0,0.0,3073412.0,3073410.0,0.0,,,,,,,,,,
6385,NGA+,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGA/WS,0.0,0.0,674350.0,0.0,0.0,,,,,,,,,,
6386,NGA.U,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0.0,9.8449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,NGA/U,0.0,0.0,31229.0,0.0,0.0,,,,,,,,,,
6387,NGAC,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37500000.0,0.0,0.0,NGAC,0.0,0.0,164554.0,0.0,0.0,,,,,,,,,,
6388,NGACU,0.0,0.0,0.30987,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,0.0,9.85,0.0,472.0313,25.625,0.0,0.0,0.0,0.0,301257.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000000.0,0.0,0.0,NGACU,99.45631,18292.68,101433.0,101430.0,6395580.0,,,,,,,,,,
6389,NGACW,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGACW,0.0,0.0,168085.0,0.0,0.0,,,,,,,,,,
6390,NGAU,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGAU,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
6391,NGD,1.93935,0.0,3.12361,0.0,0.0, ,0.0, ,0.0,0.0,93.91745,157.4042,0.0,78.06563,70.73839,2.4,2.47541,0.3901,83.04784,1588.208,674.6904,9.03857,0.0,17.3863,0.0,1.87679,10.53887,0.0,0.0,2.72093,2.60637,0.0,0.0,0.0,35.1751,0.0,0.0,676400000.0,0.0,0.0,NGD,45.36947,83.04784,5981340.0,5981340.0,145550320.0,2.24,-4.68085106,-0.11,Buy,11909372.0,1515136000.0,,-0.08848961,1337.0,Non-Energy Minerals
6392,NGG,0.32249,9.83964,0.79025,0.0,2.26,2020-11-25 00:00:00.000,2.0606,2020-11-25 00:00:00.000,3.82,0.0,0.0,51.60285,2.86762,0.0,0.0,69.08,3.98099,44.29,163.097,42476.93,694.0726,9.21194,10.06357,17.36802,19.69431,1.69134,9.94416,20.82563,0.0,2.11715,0.70853,2.25357,7.96999,2.55793,0.0,0.0,0.0,3520397149.0,0.0,0.0,NGG,63.57987,174.783,272763.0,272760.0,7166610.0,59.35,-0.61955794,-0.37,Buy,254686.0,42047700000.0,22.49340866,2.6603,23069.0,Utilities
6393,NGHC,0.90634,15.55568,0.0,0.0,0.2,2020-12-30 00:00:00.000,0.05,2021-01-15 00:00:00.000,0.59,0.0,94.16495,60.60823,3.8846,0.0,0.0,34.48,13.77869,11.8201,21.89067,3878.582,67.24978,8.27517,9.39086,11.01683,12.58886,1.46154,7.21002,8.79885,0.093441,0.73308,0.0,4.89549,18.93453,0.0,10.12038,11.52036,0.0,113475176.0,0.0,0.0,NGHC,18.0461,21.89067,2294509.0,2355260.0,20766850.0,,,,,,,,,,
6394,NGHCN,0.0,0.0,0.0,0.0,1.88,2020-12-30 00:00:00.000,0.0,2020-12-30 00:00:00.000,7.28,0.0,0.0,0.0,0.0,0.0,0.0,26.35,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,NGHCN,0.0,0.0,17978.0,0.0,0.0,,,,,,,,,,
6395,NGHCO,0.0,0.0,0.0,0.0,1.88,2020-09-30 00:00:00.000,0.0,2020-12-30 00:00:00.000,7.45,0.0,0.0,0.0,0.0,0.0,0.0,25.68,0.0,7.7588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600000.0,0.0,0.0,NGHCO,0.0,0.0,15921.0,0.0,0.0,,,,,,,,,,
6396,NGHCP,0.87761,15.55568,0.0,0.0,1.875,2020-12-30 00:00:00.000,0.46875,2021-01-15 00:00:00.000,7.44,0.0,94.16495,60.60823,3.8846,0.0,0.0,26.4,13.77869,10.46,21.89067,3878.582,67.24978,8.27517,9.39086,11.01683,12.58886,1.46154,7.21002,8.79885,0.093441,0.73308,0.0,4.89549,18.93453,0.0,10.12038,11.52036,0.0,2200000.0,0.0,0.0,NGHCP,18.0461,21.89067,2827.0,2294510.0,20381280.0,,,,,,,,,,
6397,NGHCZ,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,0.0,11.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,NGHCZ,0.0,0.0,3391.0,0.0,0.0,,,,,,,,,,
6398,NGL,2.94024,0.0,1.15678,0.0,0.4,2020-11-05 00:00:00.000,0.1,2020-11-13 00:00:00.000,16.53,0.0,0.0,45.38359,0.0,17.40073,16.09972,12.08,0.8744,1.15,156.6835,311.6276,122.6276,0.5126,0.0,4.15209,0.0,0.25083,7.05151,0.0,0.0,0.05264,0.8665,0.0,0.0,0.0,38.33932,0.0,0.0,128771715.0,0.0,0.0,NGL,60.3476,157.3113,1279800.0,1279800.0,32621070.0,2.54,4.95867769,0.12,Sell,1221172.0,327080880.0,,-2.4987,1400.0,Industrial Services
6399,NGL-B,0.0,0.0,0.0,0.0,2.25,2020-12-30 00:00:00.000,0.5625,2021-01-15 00:00:00.000,18.99,0.0,0.0,0.0,0.0,0.0,0.0,26.18,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12585642.0,0.0,0.0,NGLpB,0.0,0.0,65773.0,0.0,0.0,,,,,,,,,,
6400,NGL-C,0.0,0.0,0.0,0.0,2.40624,2020-12-30 00:00:00.000,0.60156,2021-01-15 00:00:00.000,19.33,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,0.0,0.0,NGLpC,0.0,0.0,30389.0,0.0,0.0,,,,,,,,,,
6401,NGLPRB,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGLPRB,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
