,AAPL_close,AAPL_volume
2019-07-31 00:00:00+00:00,53.26,277125444
2019-08-01 00:00:00+00:00,52.1075,216071688
2019-08-02 00:00:00+00:00,51.005,163448488
2019-08-05 00:00:00+00:00,48.335,209571876
2019-08-06 00:00:00+00:00,49.25,143299148
2019-08-07 00:00:00+00:00,49.76,133457600
2019-08-08 00:00:00+00:00,50.8575,108038092
2019-08-09 00:00:00+00:00,50.2475,98478984
2019-08-12 00:00:00+00:00,50.12,89927556
2019-08-13 00:00:00+00:00,52.2425,190159144
2019-08-14 00:00:00+00:00,50.6875,146189772
2019-08-15 00:00:00+00:00,50.435,111533452
2019-08-16 00:00:00+00:00,51.625,115254496
2019-08-19 00:00:00+00:00,52.5875,97727660
2019-08-20 00:00:00+00:00,52.59,107678116
2019-08-21 00:00:00+00:00,53.16,86258988
2019-08-22 00:00:00+00:00,53.115,89071276
2019-08-23 00:00:00+00:00,50.66,187531372
2019-08-26 00:00:00+00:00,51.6225,104264520
2019-08-27 00:00:00+00:00,51.04,103589376
2019-08-28 00:00:00+00:00,51.3825,63830528
2019-08-29 00:00:00+00:00,52.2525,84030608
2019-08-30 00:00:00+00:00,52.185,84650244
2019-09-03 00:00:00+00:00,51.425,80238296
2019-09-04 00:00:00+00:00,52.2975,76867280
2019-09-05 00:00:00+00:00,53.32,95787936
2019-09-06 00:00:00+00:00,53.315,77449176
2019-09-09 00:00:00+00:00,53.5425,109237604
2019-09-10 00:00:00+00:00,54.175,127111724
2019-09-11 00:00:00+00:00,55.8975,177158584
2019-09-12 00:00:00+00:00,55.77125,128906676
2019-09-13 00:00:00+00:00,54.6875,159053184
2019-09-16 00:00:00+00:00,54.975,84632564
2019-09-17 00:00:00+00:00,55.175,73545872
2019-09-18 00:00:00+00:00,55.6925,102572372
2019-09-19 00:00:00+00:00,55.24,88751504
2019-09-20 00:00:00+00:00,54.4325,231908376
2019-09-23 00:00:00+00:00,54.68,77678592
2019-09-24 00:00:00+00:00,54.42,125737468
2019-09-25 00:00:00+00:00,55.2575,89924024
2019-09-26 00:00:00+00:00,54.9725,76353248
2019-09-27 00:00:00+00:00,54.705,101445140
2019-09-30 00:00:00+00:00,55.9925,105274332
2019-10-01 00:00:00+00:00,56.1475,144748652
2019-10-02 00:00:00+00:00,54.74,143069028
2019-10-03 00:00:00+00:00,55.205,121410744
2019-10-04 00:00:00+00:00,56.7525,139022212
2019-10-07 00:00:00+00:00,56.765,123557076
2019-10-08 00:00:00+00:00,56.1,117130800
2019-10-09 00:00:00+00:00,56.7575,76117696
2019-10-10 00:00:00+00:00,57.5225,115851936
2019-10-11 00:00:00+00:00,59.0525,167960840
2019-10-14 00:00:00+00:00,58.9675,97653936
2019-10-15 00:00:00+00:00,58.83,92161932
2019-10-16 00:00:00+00:00,58.5925,77146776
2019-10-17 00:00:00+00:00,58.82,69091588
2019-10-18 00:00:00+00:00,59.1025,97508664
2019-10-21 00:00:00+00:00,60.1275,89469932
2019-10-22 00:00:00+00:00,59.99,90736004
2019-10-23 00:00:00+00:00,60.795,79730180
2019-10-24 00:00:00+00:00,60.895,71665020
2019-10-25 00:00:00+00:00,61.645,73477184
2019-10-28 00:00:00+00:00,62.2625,96572964
2019-10-29 00:00:00+00:00,60.8225,142839468
2019-10-30 00:00:00+00:00,60.815,124522088
2019-10-31 00:00:00+00:00,62.19,139162080
2019-11-01 00:00:00+00:00,63.955,151125336
2019-11-04 00:00:00+00:00,64.375,103271808
2019-11-05 00:00:00+00:00,64.2825,79897708
2019-11-06 00:00:00+00:00,64.31,75864496
2019-11-07 00:00:00+00:00,64.8575,94940332
2019-11-08 00:00:00+00:00,65.035,70081980
2019-11-11 00:00:00+00:00,65.55,82029836
2019-11-12 00:00:00+00:00,65.49,87388904
2019-11-13 00:00:00+00:00,66.1175,103270372
2019-11-14 00:00:00+00:00,65.66,89582224
2019-11-15 00:00:00+00:00,66.44,100374664
2019-11-18 00:00:00+00:00,66.775,86803588
2019-11-19 00:00:00+00:00,66.5725,76278388
2019-11-20 00:00:00+00:00,65.7975,106439676
2019-11-21 00:00:00+00:00,65.5025,121395112
2019-11-22 00:00:00+00:00,65.445,65325052
2019-11-25 00:00:00+00:00,66.5925,84118068
2019-11-26 00:00:00+00:00,66.0725,105339528
2019-11-27 00:00:00+00:00,66.96,65544488
2019-11-29 00:00:00+00:00,66.8125,46617452
2019-12-02 00:00:00+00:00,66.04,94774200
2019-12-03 00:00:00+00:00,64.8625,117509072
2019-12-04 00:00:00+00:00,65.435,67241552
2019-12-05 00:00:00+00:00,66.395,74645372
2019-12-06 00:00:00+00:00,67.6775,106189972
2019-12-09 00:00:00+00:00,66.73,128730580
2019-12-10 00:00:00+00:00,67.12,90529532
2019-12-11 00:00:00+00:00,67.6925,78893564
2019-12-12 00:00:00+00:00,67.865,137748168
2019-12-13 00:00:00+00:00,68.7875,133731224
2019-12-16 00:00:00+00:00,69.965,128324420
2019-12-17 00:00:00+00:00,70.1025,114303192
2019-12-18 00:00:00+00:00,69.935,116098748
2019-12-19 00:00:00+00:00,70.005,98507788
2019-12-20 00:00:00+00:00,69.86,276130972
2019-12-23 00:00:00+00:00,71.0,98711532
2019-12-24 00:00:00+00:00,71.0675,48478856
2019-12-26 00:00:00+00:00,72.4775,93336016
2019-12-27 00:00:00+00:00,72.45,146371744
2019-12-30 00:00:00+00:00,72.88,144238456
2019-12-31 00:00:00+00:00,73.4125,100990500
2020-01-02 00:00:00+00:00,75.0875,135647456
2020-01-03 00:00:00+00:00,74.3575,146535512
2020-01-06 00:00:00+00:00,74.95,118578576
2020-01-07 00:00:00+00:00,74.5975,111510620
2020-01-08 00:00:00+00:00,75.7975,132363784
2020-01-09 00:00:00+00:00,77.4075,170486168
2020-01-10 00:00:00+00:00,77.5825,140869088
2020-01-13 00:00:00+00:00,79.24,122086888
2020-01-14 00:00:00+00:00,78.17,162613828
2020-01-15 00:00:00+00:00,77.835,121923528
2020-01-16 00:00:00+00:00,78.81,108829016
2020-01-17 00:00:00+00:00,79.6825,137816468
2020-01-21 00:00:00+00:00,79.1425,110843256
2020-01-22 00:00:00+00:00,79.425,101832460
2020-01-23 00:00:00+00:00,79.8075,104471972
2020-01-24 00:00:00+00:00,79.5775,146537520
2020-01-27 00:00:00+00:00,77.2375,161940020
2020-01-28 00:00:00+00:00,79.4225,162233944
2020-01-29 00:00:00+00:00,81.085,216599712
2020-01-30 00:00:00+00:00,80.9675,126743232
2020-01-31 00:00:00+00:00,77.3775,199588384
2020-02-03 00:00:00+00:00,77.165,173985604
2020-02-04 00:00:00+00:00,79.7125,136616536
2020-02-05 00:00:00+00:00,80.3625,118826872
2020-02-06 00:00:00+00:00,81.3025,105425540
2020-02-07 00:00:00+00:00,80.0075,117684048
2020-02-10 00:00:00+00:00,80.3875,109348860
2020-02-11 00:00:00+00:00,79.9025,94323120
2020-02-12 00:00:00+00:00,81.8,113730292
2020-02-13 00:00:00+00:00,81.2175,94747568
2020-02-14 00:00:00+00:00,81.2375,80113788
2020-02-18 00:00:00+00:00,79.75,152762180
2020-02-19 00:00:00+00:00,80.905,93983964
2020-02-20 00:00:00+00:00,80.075,100565956
2020-02-21 00:00:00+00:00,78.2625,129705660
2020-02-24 00:00:00+00:00,74.545,222195312
2020-02-25 00:00:00+00:00,72.02,230673456
2020-02-26 00:00:00+00:00,73.1625,198713724
2020-02-27 00:00:00+00:00,68.38,320605524
2020-02-28 00:00:00+00:00,68.34,426884920
2020-03-02 00:00:00+00:00,74.7025,341397356
2020-03-03 00:00:00+00:00,72.33,319475408
2020-03-04 00:00:00+00:00,75.685,219178272
2020-03-05 00:00:00+00:00,73.23,187572876
2020-03-06 00:00:00+00:00,72.2575,226176984
2020-03-09 00:00:00+00:00,66.5425,286744832
2020-03-10 00:00:00+00:00,71.335,285290080
2020-03-11 00:00:00+00:00,68.8575,256379880
2020-03-12 00:00:00+00:00,62.0575,418474068
2020-03-13 00:00:00+00:00,69.4925,370732128
2020-03-16 00:00:00+00:00,60.5525,322423460
2020-03-17 00:00:00+00:00,63.215,324055860
2020-03-18 00:00:00+00:00,61.6675,300233624
2020-03-19 00:00:00+00:00,61.195,271857020
2020-03-20 00:00:00+00:00,57.31,401693384
2020-03-23 00:00:00+00:00,56.0925,336752832
2020-03-24 00:00:00+00:00,61.72,287531092
2020-03-25 00:00:00+00:00,61.38,303602040
2020-03-26 00:00:00+00:00,64.61,252560676
2020-03-27 00:00:00+00:00,61.935,204216612
2020-03-30 00:00:00+00:00,63.7025,167976440
2020-03-31 00:00:00+00:00,63.5725,197002004
2020-04-01 00:00:00+00:00,60.2275,176218552
2020-04-02 00:00:00+00:00,61.2325,165933972
2020-04-03 00:00:00+00:00,60.3525,129880068
2020-04-06 00:00:00+00:00,65.6175,201820284
