,tickers
2004-08-05,"LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS"
2004-08-06,"TER,TGT,THC,TJX,TMO,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY,T,TAP,A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,CI,CIEN"
2004-08-10,"A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION"
2004-08-18,"A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,T,TAP,TER,TGT,THC,TJX,TMO,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY"
2004-08-24,"A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK"
2004-08-25,"KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO"
2004-08-26,"SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL"
2004-09-01,"A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TPR,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION"
2004-09-02,"A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TPR,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION"
2004-09-08,"A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TPR,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT"
2004-09-14,"A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,STT,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TPR,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY,KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI"
2004-09-15,"KLAC,KMB,KO,KR,KSS,LEG,LLY,LMT,LNC,LPX,LUV,M,MAR,MAS,MAT,MBI,MCD,MCK,MCO,MDP,MDT,MET,MKC,MMC,MMM,MO,MRK,MRO,MS,MSFT,MSI,MTB,MTG,MU,MXIM,MYL,NBR,NCR,NEE,NEM,NI,NKE,NOC,NSC,NTAP,NTRS,NUE,NVDA,NWL,NYT,ODP,OMC,OXY,PAYX,PBI,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PRU,PTC,QCOM,R,RDC,RF,RHI,RIG,ROK,RRD,SBUX,SCHW,SEE,SHW,SLB,SLM,SNA,SNV,SO,SPG,SPGI,SRE,STI,STT,SVU,SWK,SYK,SYY,T,TAP,TER,TGT,THC,TJX,TMO,TPR,TROW,TXN,UIS,UNH,UNM,UNP,UPS,USB,UTX,VFC,VLO,VMC,VZ,WAT,WBA,WFC,WHR,WM,WMB,WMT,WOR,X,XEL,XL,XLNX,XOM,XRX,YUM,ZBH,ZION,A,AAPL,ABC,ABT,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,ALL,AMAT,AMD,AMGN,AN,ANTM,APA,APC,APD,ARNC,ASH,ATI,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBY,BC,BDX,BEN,BIG,BK,BLL,BMS,BMY,BSX,C,CA,CAG,CAH,CAR,CAT,CB,CBS,CCL,CI,CIEN,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COF,COL,COP,COST,CPB,CR,CSCO,CSX,CTAS,CTB,CTL,CTXS,CVG,CVS,CVX,D,DE,DGX,DIS,DLX,DOV,DRI,DTE,DUK,DVN,DXC,EA,EBAY,ECL,ED,EFX,EIX,EMN,EMR,EOG,EQR,ETN,ETR,EXC,F,FCX,FDX,FE,FHN,FISV,FITB,FLR,FMCC,FNMA,FTR,GD,GE,GIS,GLW,GPC,GPS,GS,GT,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOG,HON,HPQ,HRB,HSY,HUM,IBM,IFF,INTC,INTU,IP,IPG,IR,ITT,ITW,JBL,JCI,JNJ,JPM,JWN,K,KBH,KEY"
